No.,KPI / Category,KPI / Other Data (Description),Reporting Questions,Target,Response
1,Mental Health Improvement (K10+/K5),Percentage of clients who showed improvement using the K10+/K5 outcome measure,"Number of clients with matched pairs of outcome scores (K10+/K5 or other validated tool used by ACCHO)",Not applicable,
1,Mental Health Improvement (K10+/K5),Percentage of clients who showed improvement using the K10+/K5 outcome measure,"a. Number of clients with matched pairs of outcome scores who showed improvement (using the K10+/K5 or other validated tool) outcome measure",Not applicable,
1,Mental Health Improvement (K10+/K5),Percentage of clients who showed improvement using the K10+/K5 outcome measure,a. Number of clients that didn’t record results of an outcome measure because they completed as part of SEWB program participation,Not applicable,
1,Mental Health Improvement (K10+/K5),Percentage of clients who showed improvement using the K10+/K5 outcome measure,a. What outcome measure tool was used,Not applicable,
2,Mental Health Improvement (RAS-DS),Percentage of clients who showed improvement using the RAS-DS outcome measure,"a) Number of clients with matched pairs of RAS-DS outcome scores",Not applicable,
2,Mental Health Improvement (RAS-DS),Percentage of clients who showed improvement using the RAS-DS outcome measure,"b) Number of clients with matched pairs of outcome scores who showed improvement using the RAS-DS outcome measure",Not applicable,
2,Mental Health Improvement (RAS-DS),Percentage of clients who showed improvement using the RAS-DS outcome measure,c) Number of clients with outcome scores not reported,Not applicable,
2,Mental Health Improvement (RAS-DS),Percentage of clients who showed improvement using the RAS-DS outcome measure,d) Number of clients with outcome scores not reported because they reported as part of SEWB program participation,Not applicable,
3,Service Delivery - Unique Clients,Number of clients who received a service,Number of clients who received a service by:,Not applicable,
3,Service Delivery - Unique Clients,Number of clients who received a service,"a) gender (man/male, woman/female, non-binary, different term used, preferred not to answer)",Not applicable,
3,Service Delivery - Unique Clients,Number of clients who received a service,"b) age group (0-17, 18-24, 25-44, 45-64, 65+, not reported)",Not applicable,
3,Service Delivery - Unique Clients,Number of clients who received a service,"c) Aboriginal and Torres Strait Islander Status (Aboriginal, Torres Strait Islander, both Aboriginal and Torres Strait Islander, neither, not reported)",Not applicable,
3,Service Delivery - Unique Clients,Number of clients who received a service,"d) Cultural and linguistic diversity status (culturally diverse, linguistically diverse, culturally and linguistically diverse, not reported)",Not applicable,
3,Service Delivery - Unique Clients,Number of clients who received a service,"e) Neurodevelopmental condition (autism, ADHD, Intellectual disability, Dyslexia, other - specify)",Not applicable,
3,Service Delivery - Unique Clients,Number of clients who received a service,"f) Mental health severity (moderate, severe, not reported)",Not applicable,
3,Service Delivery - Unique Clients,Number of clients who received a service,g) Number of unique clients engaged (ie first time clients),Not applicable,
4,Service Delivery - Service Contacts,Number of service contacts (occasions of service) delivered,a) Number of individual service contacts (occasions of service) delivered,Not applicable,
4,Service Delivery - Service Contacts,Number of service contacts (occasions of service) delivered,b) Number of group service contacts (occasions of service) delivered,Not applicable,
5,Referrals Received,Number of referrals received,Number of referrals received by source:,Not applicable,
5,Referrals Received,Number of referrals received,a) GP,Not applicable,
5,Referrals Received,Number of referrals received,b) SEWB Program staff,Not applicable,
5,Referrals Received,Number of referrals received,c) Other (please specify),Not applicable,
6,Referrals Not Accepted,Number of referrals not accepted,Number of referrals not accepted by reason:,Not applicable,
6,Referrals Not Accepted,Number of referrals not accepted,a) Client does not meet mental health condition eligibility criteria,Not applicable,
6,Referrals Not Accepted,Number of referrals not accepted,b) Workforce and service capacity constraints,Not applicable,
6,Referrals Not Accepted,Number of referrals not accepted,c) Limited-service availability in regional and remote area,Not applicable,
6,Referrals Not Accepted,Number of referrals not accepted,d) Other (please specify),Not applicable,
7,Wait Times,Wait time (in business days) from referral to service contact,"Number of clients with a wait time period (in business days) of same day, 1-2, 3-4, 5-9, 10-14, 15-29, 30+, has not commenced, or not reported, from referral to service contact",Not applicable,
8,Service Duration,Length of service duration,"Number of clients with a service duration of 1 day to 2 weeks, 3-4 weeks, 1 to 3 months, 4-6 months, more then 6 months",Not applicable,
9,Outcome Monitoring,Matched pairs of client outcome scores,a) Number of clients with matched pairs of outcome scores,Not applicable,
9,Outcome Monitoring,Matched pairs of client outcome scores,b) Number of clients who have not yet completed services,Not applicable,
9,Outcome Monitoring,Matched pairs of client outcome scores,c) Number of clients with outcome scores not reported because they reported as part of SEWB program participation,Not applicable,
10,Outcome Changes,Changes in outcomes scores between service start and service end,Number of clients with matched pairs of outcome scores who showed:,Not applicable,
10,Outcome Changes,Changes in outcomes scores between service start and service end,a) improvement in outcome measure score,Not applicable,
10,Outcome Changes,Changes in outcomes scores between service start and service end,b) deterioration in outcome measure score,Not applicable,
10,Outcome Changes,Changes in outcomes scores between service start and service end,c) No change in outcome measure score,Not applicable,
10,Outcome Changes,Changes in outcomes scores between service start and service end,d) Not reported,Not applicable,
11,YES PHN Survey,Clients with recorded YES PHN Survey scores,Number of clients with a recorded YES PHN Survey score,Not applicable,
12,YES PHN Experience,YES PHN Survey Experience and Outcome Score,"a) Average number of clients with an average YES Experience score (C1-C12, minimum 12, maximum 60)",Not applicable,
12,YES PHN Experience,YES PHN Survey Experience and Outcome Score,"b) Average number of clients with an average YES Outcome score (C13-C15, minimum 3, maximum 15)",Not applicable,
12,YES PHN Experience,YES PHN Survey Experience and Outcome Score,c) Top 3 themes in response to 'My experience would have been better if...',Not applicable,
12,YES PHN Experience,YES PHN Survey Experience and Outcome Score,"d) Top 3 most common themes in responses to 'The best things about this service were...'",Not applicable,
13,Cultural Safety & Partnership,Cultural Safety and ACCHO partnership,Quarterly Reporting Checklist - Client Care Planning,Not applicable,
13,Cultural Safety & Partnership,Cultural Safety and ACCHO partnership,a) How many client care planning sessions or case conferences did you attend in partnership with ACCHO staff?,Not applicable,
13,Cultural Safety & Partnership,Cultural Safety and ACCHO partnership,b) What was your role in these sessions?,Not applicable,
13,Cultural Safety & Partnership,Cultural Safety and ACCHO partnership,ACCHO Involvement in Service Delivery,Not applicable,
13,Cultural Safety & Partnership,Cultural Safety and ACCHO partnership,"c) In what ways were ACCHO staff involved in delivering creative therapy sessions? (e.g., co-facilitation, cultural guidance, family engagement, referral support)",Not applicable,
13,Cultural Safety & Partnership,Cultural Safety and ACCHO partnership,d) What percentage of sessions included ACCHO staff participation?,Not applicable,
13,Cultural Safety & Partnership,Cultural Safety and ACCHO partnership,e) How has the involvement of Aboriginal cultural therapists and ACCHO staff influenced client engagement...?,Not applicable,
13,Cultural Safety & Partnership,Cultural Safety and ACCHO partnership,Cultural Safety Training & Mentoring,Not applicable,
13,Cultural Safety & Partnership,Cultural Safety and ACCHO partnership,"a) Did you participate in cultural safety training, cultural supervision or mentoring activities?",Not applicable,
13,Cultural Safety & Partnership,Cultural Safety and ACCHO partnership,b) How many activities were the key learnings and how have they been applied?,Not applicable,
13,Cultural Safety & Partnership,Cultural Safety and ACCHO partnership,Community-Led Activities,Not applicable,
13,Cultural Safety & Partnership,Cultural Safety and ACCHO partnership,a) Were any creative therapy activities initiated or co-designed by ACCHO or community members?,Not applicable,
